Charge Code/APC Package,Description,Hospital Price,Revenue Code,CPT/HCPCS,NDC,Cash Price,,Blue Cross Commercial,Blue Cross Chip,Blue Cross Special Care,Blue Cross Community Blue,Blue Cross Federal,UPMC Commercial,UPMC For Life,UHC,United Healthcare Medicare,Cigna,Aetna Commercial,Aetna Medicare,,MIN,MAX
67302,CT ISOVUE 300 100ML BOTTLE/ML,0.11,636,Q9967,,0.05,, -   , -   , -   , -   , -   ,1.04, -   ,0.06, -   ,0.05, -   , -   ,,0.05,1.04
67302,CT ISOVUE 300 100ML BOTTLE/ML,0.11,636,Q9967,,0.05,, -   , -   , -   , -   , -   ,1.04, -   ,0.06, -   ,0.05, -   , -   ,,0.05,1.04
67302,CT ISOVUE 300 100ML BOTTLE/ML,0.11,636,Q9967,,0.05,, -   , -   , -   , -   , -   ,1.04, -   ,0.06, -   ,0.05, -   , -   ,,0.05,1.04
67293,ISOVUE 250 100ML BOTTLE PER ML,0.13,636,Q9966,,0.06,, -   , -   , -   , -   , -   ,1.74, -   ,0.08, -   ,0.06, -   , -   ,,0.06,1.74
67293,ISOVUE 250 100ML BOTTLE PER ML,0.13,636,Q9966,,0.06,, -   , -   , -   , -   , -   ,1.74, -   ,0.08, -   ,0.06, -   , -   ,,0.06,1.74
67293,ISOVUE 250 100ML BOTTLE PER ML,0.13,636,Q9966,,0.06,, -   , -   , -   , -   , -   ,1.74, -   ,0.08, -   ,0.06, -   , -   ,,0.06,1.74
67293,ISOVUE 250 100ML BOTTLE PER ML,0.13,636,Q9966,,0.06,, -   , -   , -   , -   , -   ,1.74, -   ,0.08, -   ,0.06, -   , -   ,,0.06,1.74
67293,ISOVUE 250 100ML BOTTLE PER ML,0.13,636,Q9966,,0.06,, -   , -   , -   , -   , -   ,1.74, -   ,0.08, -   ,0.06, -   , -   ,,0.06,1.74
67293,ISOVUE 250 100ML BOTTLE PER ML,0.13,636,Q9966,,0.06,, -   , -   , -   , -   , -   ,1.74, -   ,0.08, -   ,0.06, -   , -   ,,0.06,1.74
67293,ISOVUE 250 100ML BOTTLE PER ML,0.13,636,Q9966,,0.06,, -   , -   , -   , -   , -   ,1.74, -   ,0.08, -   ,0.06, -   , -   ,,0.06,1.74
67293,ISOVUE 250 100ML BOTTLE PER ML,0.13,636,Q9966,,0.06,, -   , -   , -   , -   , -   ,1.74, -   ,0.08, -   ,0.06, -   , -   ,,0.06,1.74
67293,ISOVUE 250 100ML BOTTLE PER ML,0.13,636,Q9966,,0.06,, -   , -   , -   , -   , -   ,1.74, -   ,0.08, -   ,0.06, -   , -   ,,0.06,1.74
67293,ISOVUE 250 100ML BOTTLE PER ML,0.13,636,Q9966,,0.06,, -   , -   , -   , -   , -   ,1.74, -   ,0.08, -   ,0.06, -   , -   ,,0.06,1.74
67293,ISOVUE 250 100ML BOTTLE PER ML,0.13,636,Q9966,,0.06,, -   , -   , -   , -   , -   ,1.74, -   ,0.08, -   ,0.06, -   , -   ,,0.06,1.74
67293,ISOVUE 250 100ML BOTTLE PER ML,0.13,636,Q9966,,0.06,, -   , -   , -   , -   , -   ,1.74, -   ,0.08, -   ,0.06, -   , -   ,,0.06,1.74
67293,ISOVUE 250 100ML BOTTLE PER ML,0.13,636,Q9966,,0.06,, -   , -   , -   , -   , -   ,1.74, -   ,0.08, -   ,0.06, -   , -   ,,0.06,1.74
67295,ISOVUE 370 100ML BOTTLE PER ML,0.13,636,Q9967,,0.06,, -   , -   , -   , -   , -   ,1.04, -   ,0.08, -   ,0.06, -   , -   ,,0.06,1.04
67308,GASROGRAFIN 120ML PER ML,0.14,636,Q9963,,0.06,, -   , -   , -   , -   , -   ,0.78, -   ,0.08, -   ,0.06, -   , -   ,,0.06,0.78
67308,GASROGRAFIN 120ML PER ML,0.14,636,Q9963,,0.06,, -   , -   , -   , -   , -   ,0.78, -   ,0.08, -   ,0.06, -   , -   ,,0.06,0.78
67309,GASTROGRAFIN 30ML PER ML,0.35,636,Q9963,,0.15,, -   , -   , -   , -   , -   ,0.78, -   ,0.2, -   ,0.16, -   , -   ,,0.16,0.78
67309,GASTROGRAFIN 30ML PER ML,0.35,636,Q9963,,0.15,, -   , -   , -   , -   , -   ,0.78, -   ,0.2, -   ,0.16, -   , -   ,,0.16,0.78
68086,CDSM APPLIED PATHWAYS DEF MAUC,1,320,G1000,,0.44,, -   , -   , -   , -   , -   ,0.45, -   ,0.58, -   ,0.46, -   , -   ,,0.45,0.58
68087,CDSM EVICORE DEF MAUCP,1,320,G1001,,0.44,, -   , -   , -   , -   , -   ,0.45, -   ,0.58, -   ,0.46, -   , -   ,,0.45,0.58
68088,CDSM MED CURRENT DEF MAUCP,1,320,G1002,,0.44,, -   , -   , -   , -   , -   ,0.45, -   ,0.58, -   ,0.46, -   , -   ,,0.45,0.58
68089,CDSM MEDICALIS DEF MAUCP,1,320,G1003,,0.44,, -   , -   , -   , -   , -   ,0.45, -   ,0.58, -   ,0.46, -   , -   ,,0.45,0.58
68090,CDSM APLID NAT DEC SU CO MAUCP,1,320,G1004,,0.44,, -   , -   , -   , -   , -   ,0.45, -   ,0.58, -   ,0.46, -   , -   ,,0.45,0.58
68091,CDSM APPLIED NIA DEF MAUCP,1,320,G1005,,0.44,, -   , -   , -   , -   , -   ,0.45, -   ,0.58, -   ,0.46, -   , -   ,,0.45,0.58
68092,CDSM APLID TEST APPROP MAUCP,1,320,G1006,,0.44,, -   , -   , -   , -   , -   ,0.45, -   ,0.58, -   ,0.46, -   , -   ,,0.45,0.58
68093,CDSM APP AIM SPEC HLTH DEF MAU,1,320,G1007,,0.44,, -   , -   , -   , -   , -   ,0.45, -   ,0.58, -   ,0.46, -   , -   ,,0.45,0.58
68094,CDSM APPLIED CRNBRY PEAK MAUCP,1,320,G1008,,0.44,, -   , -   , -   , -   , -   ,0.45, -   ,0.58, -   ,0.46, -   , -   ,,0.45,0.58
68095,CDSM SAGE HLTH MGMT SOL MAUCP,1,320,G1009,,0.44,, -   , -   , -   , -   , -   ,0.45, -   ,0.58, -   ,0.46, -   , -   ,,0.45,0.58
68096,CDSM APPLIED STANSON DEF MAUCP,1,320,G1010,,0.44,, -   , -   , -   , -   , -   ,0.45, -   ,0.58, -   ,0.46, -   , -   ,,0.45,0.58
68097,CDSM APPLIED NOS DEF MAUCP,1,320,G1011,,0.44,, -   , -   , -   , -   , -   ,0.45, -   ,0.58, -   ,0.46, -   , -   ,,0.45,0.58
67975,TRACHEOSTOMY TUBE HOLDER,2,272,A7526,,0.88,, -   , -   , -   , -   , -   ,13.62, -   ,1.16, -   ,0.91, -   , -   ,,0.91,13.62
67861,TANGNTL BX SKIN EA SEP/ADD LES,4,510,11103,,1.76,, -   , -   , -   , -   , -   ,1.8, -   ,2.32, -   ,1.82, -   , -   ,,1.8,2.32
67863,PUNCH BX SKIN EA SEP/ADDL LES,4,510,11105,,1.76,, -   , -   , -   , -   , -   ,1.8, -   ,2.32, -   ,1.82, -   , -   ,,1.8,2.32
67865,INCIS BX SKIN EA SEP/ADDL LES,4,510,11107,,1.76,, -   , -   , -   , -   , -   ,1.8, -   ,2.32, -   ,1.82, -   , -   ,,1.8,2.32
67255,DRAIN OSTOMY POUCH W/BAR CTF,6,271,A5061,,2.64,, -   , -   , -   , -   , -   ,12.4, -   ,3.48, -   ,2.73, -   , -   ,,2.73,12.4
67300,ISOVUE M200 10ML BOTTLE PER ML,6,636,Q9966,,2.64,, -   , -   , -   , -   , -   ,1.74, -   ,3.48, -   ,2.73, -   , -   ,,1.74,3.48
67300,ISOVUE M200 10ML BOTTLE PER ML,6,636,Q9966,,2.64,, -   , -   , -   , -   , -   ,1.74, -   ,3.48, -   ,2.73, -   , -   ,,1.74,3.48
67310,LOW OSMOL ISOVUE-M300 15ML/ML,6,636,Q9967,,2.64,, -   , -   , -   , -   , -   ,1.04, -   ,3.48, -   ,2.73, -   , -   ,,1.04,3.48
67310,LOW OSMOL ISOVUE-M300 15ML/ML,6,636,Q9967,,2.64,, -   , -   , -   , -   , -   ,1.04, -   ,3.48, -   ,2.73, -   , -   ,,1.04,3.48
67310,LOW OSMOL ISOVUE-M300 15ML/ML,6,636,Q9967,,2.64,, -   , -   , -   , -   , -   ,1.04, -   ,3.48, -   ,2.73, -   , -   ,,1.04,3.48
67310,LOW OSMOL ISOVUE-M300 15ML/ML,6,636,Q9967,,2.64,, -   , -   , -   , -   , -   ,1.04, -   ,3.48, -   ,2.73, -   , -   ,,1.04,3.48
67310,LOW OSMOL ISOVUE-M300 15ML/ML,6,636,Q9967,,2.64,, -   , -   , -   , -   , -   ,1.04, -   ,3.48, -   ,2.73, -   , -   ,,1.04,3.48
67254,UROSTOMY POUCH W/BARRIER CTF,7,271,A5071,,3.08,, -   , -   , -   , -   , -   ,19.54, -   ,4.06, -   ,3.19, -   , -   ,,3.19,19.54
68067,LONG CIRCUITS,7,271,A4618,,3.08,, -   , -   , -   , -   , -   ,3.13, -   ,4.06, -   ,3.19, -   , -   ,,3.13,4.06
68070,BLUE VOGUE ARM SLING W/PAD,8,271,A4565,,3.52,, -   , -   , -   , -   , -   ,31.38, -   ,4.64, -   ,3.64, -   , -   ,,3.64,31.38
68070,BLUE VOGUE ARM SLING W/PAD,8,271,A4565,,3.52,, -   , -   , -   , -   , -   ,31.38, -   ,4.64, -   ,3.64, -   , -   ,,3.64,31.38
67963,HIGH FLOW NASAL CANNULA NH,8,272,A4615,,3.52,, -   , -   , -   , -   , -   ,3.35, -   ,4.64, -   ,3.64, -   , -   ,,3.35,4.64
68214,CAD BREAST MRI,8,610,C8937,,3.52,, -   , -   , -   , -   , -   ,3.6, -   ,4.64, -   ,3.64, -   , -   ,,3.6,4.64
68079,TRAY FOLEY CATH 16FR (CLOSED),9,272,A4314,,3.96,, -   , -   , -   , -   , -   ,109.98, -   ,5.22, -   ,4.1, -   , -   ,,4.1,109.98
67311,OMNIPAQUE 240 10ML BOTTLE/ML,9,636,Q9966,,3.96,, -   , -   , -   , -   , -   ,1.74, -   ,5.22, -   ,4.1, -   , -   ,,1.74,5.22
68066,CIRCUIT CIRCLE,10,271,A4618,,4.4,, -   , -   , -   , -   , -   ,3.13, -   ,5.8, -   ,4.55, -   , -   ,,3.13,5.8
51896,URETERAL CATHETER,10,272,C1758,,4.4,, -   , -   , -   , -   , -   ,4.5, -   ,5.8, -   ,4.55, -   , -   ,,4.5,5.8
67349,OMNIPAQUE 180MG PER ML,10,636,Q9965,,4.4,, -   , -   , -   , -   , -   ,5.4, -   ,5.8, -   ,4.55, -   , -   ,,4.55,5.8
67739,URINEMETER W/60 IN. TUBING AND,12,272,A4357,,5.28,, -   , -   , -   , -   , -   ,5.4, -   ,6.96, -   ,5.46, -   , -   ,,5.4,6.96
67739,URINEMETER W/60 IN. TUBING AND,12,272,A4357,,5.28,, -   , -   , -   , -   , -   ,5.4, -   ,6.96, -   ,5.46, -   , -   ,,5.4,6.96
67739,URINEMETER W/60 IN. TUBING AND,12,272,A4357,,5.28,, -   , -   , -   , -   , -   ,5.4, -   ,6.96, -   ,5.46, -   , -   ,,5.4,6.96
68080,TRAY FOLEY URINEMETER 16FR,12,272,A4314,,5.28,, -   , -   , -   , -   , -   ,109.98, -   ,6.96, -   ,5.46, -   , -   ,,5.46,109.98
67193,GUIDANCE FOR RADIAT TX DLVR,12,333,77387,,5.28,, -   , -   , -   , -   , -   ,5.4, -   ,6.96, -   ,5.46, -   , -   ,,5.4,6.96
67867,FNA BX W/US EA ADDL LESION,12,510,10006,,5.28,, -   , -   , -   , -   , -   ,5.4, -   ,6.96, -   ,5.46, -   , -   ,,5.4,6.96
68103,.3MM POLYMER I/A TIP,13,272,,,5.72,, -   , -   , -   , -   , -   ,5.85, -   ,7.54, -   ,5.92, -   , -   ,,5.85,7.54
63728,"PLTC, AUTOMATED",13,305,85049,,5.72,,10,4.47,3.14,9.38,10,30.8,4.48,28,4.48,5.92,11.02,4.57,,3.14,30.8
67674,XRAY GUIDANCE GI DILATION,13,320,74360,,5.72,, -   , -   , -   , -   , -   ,419.42, -   ,7.54, -   ,5.92, -   , -   ,,5.92,419.42
67489,MOD CON SED OTH PHY <5YR IN 15,13,450,99155,,5.72,, -   , -   , -   , -   , -   ,5.85, -   ,7.54, -   ,5.92, -   , -   ,,5.85,7.54
67769,GUIDEWIRE 90.0795,14,272,C1769,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67770,VALVE HEMOSTATIS CHECK FLOW,14,272,,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67365,TISSUE EXAM FOR SCABIES,14,300,87220,,6.16,,9.53,4.26,2.99,8.94,9.53,23.61,4.27,28,4.27,6.37,10.5,4.36,,2.99,28
67481,MOD CON SED 1ST 15 MIN 5/>YRS,14,370,99152,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67481,MOD CON SED 1ST 15 MIN 5/>YRS,14,370,99152,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67481,MOD CON SED 1ST 15 MIN 5/>YRS,14,370,99152,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67482,MOD CON SED SAME PHYS EA ADDL,14,370,99153,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67482,MOD CON SED SAME PHYS EA ADDL,14,370,99153,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67482,MOD CON SED SAME PHYS EA ADDL,14,370,99153,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67482,MOD CON SED SAME PHYS EA ADDL,14,370,99153,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67482,MOD CON SED SAME PHYS EA ADDL,14,370,99153,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67484,MOD CON SED OTH PHY 5/>YRS INI,14,370,99156,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67484,MOD CON SED OTH PHY 5/>YRS INI,14,370,99156,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67484,MOD CON SED OTH PHY 5/>YRS INI,14,370,99156,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67484,MOD CON SED OTH PHY 5/>YRS INI,14,370,99156,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67485,MOD CON SED OTH PHYS EA ADD 15,14,370,99157,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67485,MOD CON SED OTH PHYS EA ADD 15,14,370,99157,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67485,MOD CON SED OTH PHYS EA ADD 15,14,370,99157,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67485,MOD CON SED OTH PHYS EA ADD 15,14,370,99157,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67487,MOD CON SED SME PHY 5/>YRS INI,14,450,99152,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67490,MOD CON SED OTH PHY 5/>YRS INI,14,450,99156,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
67491,MOD CON SED OTH PHY EA ADDL 15,14,450,99157,,6.16,, -   , -   , -   , -   , -   ,6.3, -   ,8.12, -   ,6.37, -   , -   ,,6.3,8.12
52085,DRESSING ALGOSTERIL 3-3/4 X 3-,15,270,,,6.6,, -   , -   , -   , -   , -   ,6.75, -   ,8.7, -   ,6.83, -   , -   ,,6.75,8.7
68370,OPEN END URETERAL CATHETER,15,272,C1758,,6.6,, -   , -   , -   , -   , -   ,6.75, -   ,8.7, -   ,6.83, -   , -   ,,6.75,8.7
68083,COBAN 2 LAYER WRAP,15,272,,,6.6,, -   , -   , -   , -   , -   ,6.75, -   ,8.7, -   ,6.83, -   , -   ,,6.75,8.7
53057,NEWBORN FACE MASK,16,270,,,7.04,, -   , -   , -   , -   , -   ,7.2, -   ,9.28, -   ,7.28, -   , -   ,,7.2,9.28
66797,IMPREG AGAUZE NO H20/SAL/YARD,16,270,A6266,,7.04,, -   , -   , -   , -   , -   ,5.92, -   ,9.28, -   ,7.28, -   , -   ,,5.92,9.28
64220,"GAUZE,NON-IMPREGNATED 16 SQ/<",16,272,,,7.04,, -   , -   , -   , -   , -   ,7.2, -   ,9.28, -   ,7.28, -   , -   ,,7.2,9.28
64371,"GAUZE,NON-IMPREGNATED 16 SQ/<",16,272,,,7.04,, -   , -   , -   , -   , -   ,7.2, -   ,9.28, -   ,7.28, -   , -   ,,7.2,9.28
64371,"GAUZE,NON-IMPREGNATED 16 SQ/<",16,272,,,7.04,, -   , -   , -   , -   , -   ,7.2, -   ,9.28, -   ,7.28, -   , -   ,,7.2,9.28
68106,SUTURE EXOFIN 1.0ML SKIN GLUE,16,272,,,7.04,, -   , -   , -   , -   , -   ,7.2, -   ,9.28, -   ,7.28, -   , -   ,,7.2,9.28
68123,SINGLE USE SIGMOIDOSCOPE,16,272,,,7.04,, -   , -   , -   , -   , -   ,7.2, -   ,9.28, -   ,7.28, -   , -   ,,7.2,9.28
68197,GASTRO TUBE 20FR REPLACEMENT,16,272,,,7.04,, -   , -   , -   , -   , -   ,7.2, -   ,9.28, -   ,7.28, -   , -   ,,7.2,9.28
68169,G TUBE REPLACMENT 24 FR,16,278,,,7.04,, -   , -   , -   , -   , -   ,7.2, -   ,9.28, -   ,7.28, -   , -   ,,7.2,9.28
67898,"RHEUMATOID FACTOR, QT",16,302,86431,,7.04,,12.66,5.66,3.97,11.87,12.66,30.71,5.67,28,5.67,7.28,13.95,5.78,,3.97,30.71
52132,WOOL LAMBS 100% 1 OZ. BOX,17,270,,,7.48,, -   , -   , -   , -   , -   ,7.65, -   ,9.86, -   ,7.74, -   , -   ,,7.65,9.86
52263,HOLDER LIMB CHILD FOAM,17,270,,,7.48,, -   , -   , -   , -   , -   ,7.65, -   ,9.86, -   ,7.74, -   , -   ,,7.65,9.86
53368,CUSHION WHEELCHAIR ULTECH #900,17,270,,,7.48,, -   , -   , -   , -   , -   ,7.65, -   ,9.86, -   ,7.74, -   , -   ,,7.65,9.86
53654,KIT DENTURE CARE,17,270,,,7.48,, -   , -   , -   , -   , -   ,7.65, -   ,9.86, -   ,7.74, -   , -   ,,7.65,9.86
53655,KIT MIDSTREAM SPECIMEN,17,270,,,7.48,, -   , -   , -   , -   , -   ,7.65, -   ,9.86, -   ,7.74, -   , -   ,,7.65,9.86
54438,"TUBING PRESSURE 12"""" MALE/FEMA",17,270,,,7.48,, -   , -   , -   , -   , -   ,7.65, -   ,9.86, -   ,7.74, -   , -   ,,7.65,9.86
68024,INTRODUCER SHEATH,17,272,C1894,,7.48,, -   , -   , -   , -   , -   ,7.65, -   ,9.86, -   ,7.74, -   , -   ,,7.65,9.86
68024,INTRODUCER SHEATH,17,272,C1894,,7.48,, -   , -   , -   , -   , -   ,7.65, -   ,9.86, -   ,7.74, -   , -   ,,7.65,9.86
55670,SLEEVE STERILE,17,272,,,7.48,, -   , -   , -   , -   , -   ,7.65, -   ,9.86, -   ,7.74, -   , -   ,,7.65,9.86
59777,AQUACELL 6X6,17,272,,,7.48,, -   , -   , -   , -   , -   ,7.65, -   ,9.86, -   ,7.74, -   , -   ,,7.65,9.86
66259,COBAN 2 LAYER WRAP,17,272,,,7.48,, -   , -   , -   , -   , -   ,7.65, -   ,9.86, -   ,7.74, -   , -   ,,7.65,9.86
68009,PATTIES SURGICAL 1/2X1X1/2,17,272,,,7.48,, -   , -   , -   , -   , -   ,7.65, -   ,9.86, -   ,7.74, -   , -   ,,7.65,9.86
68062,ASTRINGYN MONSEL'S SOLUTION,17,272,,,7.48,, -   , -   , -   , -   , -   ,7.65, -   ,9.86, -   ,7.74, -   , -   ,,7.65,9.86
68025,PERC CATHETER ANCHOR,17,272,A5200,,7.48,, -   , -   , -   , -   , -   ,45.74, -   ,9.86, -   ,7.74, -   , -   ,,7.74,45.74
68025,PERC CATHETER ANCHOR,17,272,A5200,,7.48,, -   , -   , -   , -   , -   ,45.74, -   ,9.86, -   ,7.74, -   , -   ,,7.74,45.74
68023,SUPRAPUBIC CATHETER,17,278,C2627,,7.48,, -   , -   , -   , -   , -   ,7.65, -   ,9.86, -   ,7.74, -   , -   ,,7.65,9.86
68023,SUPRAPUBIC CATHETER,17,278,C2627,,7.48,, -   , -   , -   , -   , -   ,7.65, -   ,9.86, -   ,7.74, -   , -   ,,7.65,9.86
64669,LOW OSMOLAR ISOVUE-M 200 10ML,17,636,Q9966,,7.48,, -   , -   , -   , -   , -   ,1.74, -   ,9.86, -   ,7.74, -   , -   ,,1.74,9.86
64669,LOW OSMOLAR ISOVUE-M 200 10ML,17,636,Q9966,,7.48,, -   , -   , -   , -   , -   ,1.74, -   ,9.86, -   ,7.74, -   , -   ,,1.74,9.86
64669,LOW OSMOLAR ISOVUE-M 200 10ML,17,636,Q9966,,7.48,, -   , -   , -   , -   , -   ,1.74, -   ,9.86, -   ,7.74, -   , -   ,,1.74,9.86
64669,LOW OSMOLAR ISOVUE-M 200 10ML,17,636,Q9966,,7.48,, -   , -   , -   , -   , -   ,1.74, -   ,9.86, -   ,7.74, -   , -   ,,1.74,9.86
64669,LOW OSMOLAR ISOVUE-M 200 10ML,17,636,Q9966,,7.48,, -   , -   , -   , -   , -   ,1.74, -   ,9.86, -   ,7.74, -   , -   ,,1.74,9.86
64669,LOW OSMOLAR ISOVUE-M 200 10ML,17,636,Q9966,,7.48,, -   , -   , -   , -   , -   ,1.74, -   ,9.86, -   ,7.74, -   , -   ,,1.74,9.86
64669,LOW OSMOLAR ISOVUE-M 200 10ML,17,636,Q9966,,7.48,, -   , -   , -   , -   , -   ,1.74, -   ,9.86, -   ,7.74, -   , -   ,,1.74,9.86
64669,LOW OSMOLAR ISOVUE-M 200 10ML,17,636,Q9966,,7.48,, -   , -   , -   , -   , -   ,1.74, -   ,9.86, -   ,7.74, -   , -   ,,1.74,9.86
3897,HEEL WALKING RB SINGLE,18,270,,,7.92,, -   , -   , -   , -   , -   ,8.1, -   ,10.44, -   ,8.19, -   , -   ,,8.1,10.44
51548,PADS MINI-LIGHT POST-PARTUM,18,270,,,7.92,, -   , -   , -   , -   , -   ,8.1, -   ,10.44, -   ,8.19, -   , -   ,,8.1,10.44
51923,EXTRACTOR SKIN STAPLER STERILE,18,270,,,7.92,, -   , -   , -   , -   , -   ,8.1, -   ,10.44, -   ,8.19, -   , -   ,,8.1,10.44
52223,SPLINT FINGER LEWIN BASEBALL 4,18,270,,,7.92,, -   , -   , -   , -   , -   ,8.1, -   ,10.44, -   ,8.19, -   , -   ,,8.1,10.44
52471,VALVE LOPEX,18,270,,,7.92,, -   , -   , -   , -   , -   ,8.1, -   ,10.44, -   ,8.19, -   , -   ,,8.1,10.44
59573,MESALT RIBBON,18,271,A6266,,7.92,, -   , -   , -   , -   , -   ,5.92, -   ,10.44, -   ,8.19, -   , -   ,,5.92,10.44
66086,HI TORQUE SUPRA 145CM,18,272,C1769,,7.92,, -   , -   , -   , -   , -   ,8.1, -   ,10.44, -   ,8.19, -   , -   ,,8.1,10.44
67771,GUIDEWIRE 90.0797,18,272,C1769,,7.92,, -   , -   , -   , -   , -   ,8.1, -   ,10.44, -   ,8.19, -   , -   ,,8.1,10.44
